play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
richard-iii,Richard III,main,1,1,1.1,1,40,114,1396,6,0.03665,0.0,-0.08185,-0.03491,0.42377,0.3738
richard-iii,Richard III,main,1,2,1.2,2,96,212,2878,8,-0.075,0.0,-0.11906,-0.07326,0.52286,0.44153
richard-iii,Richard III,main,1,3,1.3,3,118,256,3366,9,-0.06606,0.0,-0.06099,-0.03465,0.48362,0.44083
richard-iii,Richard III,main,1,4,1.4,4,107,208,2327,9,-0.08189,0.0,-0.10713,-0.05736,0.44464,0.41122
richard-iii,Richard III,main,2,1,2.1,5,41,93,1298,8,0.0995,0.0,-0.04542,-0.01554,0.51565,0.46369
richard-iii,Richard III,main,2,2,2.2,6,48,113,1445,6,-0.02493,0.0,-0.1256,-0.07433,0.51336,0.45023
richard-iii,Richard III,main,2,3,2.3,7,25,46,464,3,0.10038,0.0,-0.09348,-0.0867,0.41822,0.32744
richard-iii,Richard III,main,2,4,2.4,8,38,66,673,3,0.05396,0.0,-0.09217,-0.05226,0.39664,0.40338
richard-iii,Richard III,main,3,1,3.1,9,93,158,1818,10,0.12986,0.0,-0.01961,-0.02403,0.43008,0.40733
richard-iii,Richard III,main,3,2,3.2,10,59,111,1113,12,0.08773,0.0,0.05548,0.01186,0.3686,0.38593
richard-iii,Richard III,main,3,3,3.3,11,11,21,215,2,-0.12318,0.0,0.05004,0.01808,0.52083,0.47541
richard-iii,Richard III,main,3,4,3.4,12,39,80,987,8,0.10837,0.0,-0.0116,0.00188,0.45412,0.38308
richard-iii,Richard III,main,3,5,3.5,13,35,69,875,8,0.01146,0.0,0.03529,0.01202,0.42764,0.3964
richard-iii,Richard III,main,3,6,3.6,14,3,12,139,2,0.09082,0.1591,-0.16385,0.00037,0.54541,0.43186
richard-iii,Richard III,main,3,7,3.7,15,61,150,2076,13,0.14641,0.0,-0.02786,-0.00328,0.46214,0.42087
richard-iii,Richard III,main,4,1,4.1,16,35,87,977,6,-0.00178,0.0,-0.04373,-0.01459,0.46813,0.40267
richard-iii,Richard III,main,4,2,4.2,17,72,131,1110,13,0.02574,0.0,0.03609,0.0139,0.37962,0.33323
richard-iii,Richard III,main,4,3,4.3,18,20,45,456,5,0.00519,0.0,0.06837,0.04331,0.46561,0.39232
richard-iii,Richard III,main,4,4,4.4,19,204,407,4908,21,-0.03094,0.0,-0.07824,-0.03977,0.4558,0.40473
richard-iii,Richard III,main,4,5,4.5,20,7,16,170,2,0.16687,0.0,0.0506,0.04782,0.30565,0.35057
richard-iii,Richard III,main,5,1,5.1,21,7,18,259,2,-0.23132,-0.17,-0.23749,-0.15378,0.46413,0.35885
richard-iii,Richard III,main,5,2,5.2,22,7,15,224,2,0.19155,0.25,-0.09661,-0.01283,0.4825,0.40457
richard-iii,Richard III,main,5,3,5.3,23,119,324,3219,38,0.01032,0.0,0.07483,0.02108,0.41966,0.42515
richard-iii,Richard III,main,5,4,5.4,24,8,19,160,7,-0.10689,0.0,0.15646,0.13152,0.42463,0.42169
richard-iii,Richard III,main,5,5,5.5,25,9,37,387,8,0.09412,0.0,0.02941,0.0057,0.49156,0.40781
