play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
the-merchant-of-venice,The Merchant of Venice,main,1,1,1.1,1,37,102,1609,5,0.14016,0.0,-0.06285,-0.05569,0.46057,0.36157
the-merchant-of-venice,The Merchant of Venice,main,1,2,1.2,2,33,78,1222,3,0.10952,0.0,-0.11795,-0.0555,0.42327,0.35735
the-merchant-of-venice,The Merchant of Venice,main,1,3,1.3,3,51,120,1517,4,0.1248,0.0,-0.04551,-0.00925,0.41228,0.31387
the-merchant-of-venice,The Merchant of Venice,main,2,1,2.1,4,10,28,432,4,0.26934,0.34,-0.03087,-0.00282,0.39813,0.38676
the-merchant-of-venice,The Merchant of Venice,main,2,2,2.2,5,69,161,1752,8,0.11001,0.0,0.03969,0.0523,0.34107,0.38655
the-merchant-of-venice,The Merchant of Venice,main,2,3,2.3,6,7,22,182,3,0.01919,0.0,0.00271,0.00791,0.38629,0.39896
the-merchant-of-venice,The Merchant of Venice,main,2,4,2.4,7,24,36,325,5,0.19076,0.0,0.03474,0.05565,0.32838,0.33412
the-merchant-of-venice,The Merchant of Venice,main,2,5,2.5,8,20,51,524,5,0.00565,0.0,-0.05311,-0.04059,0.28744,0.35751
the-merchant-of-venice,The Merchant of Venice,main,2,6,2.6,9,31,70,592,8,0.16681,0.0,0.04538,-0.00715,0.38503,0.36348
the-merchant-of-venice,The Merchant of Venice,main,2,7,2.7,10,10,62,759,4,0.12084,0.0,-0.01916,-0.00414,0.38024,0.32649
the-merchant-of-venice,The Merchant of Venice,main,2,8,2.8,11,13,37,438,2,0.16458,0.0,-0.02358,-0.01273,0.38286,0.42247
the-merchant-of-venice,The Merchant of Venice,main,2,9,2.9,12,22,75,866,6,0.08833,0.0,0.03615,-0.00112,0.35843,0.3445
the-merchant-of-venice,The Merchant of Venice,main,3,1,3.1,13,46,117,1176,6,-0.03711,0.0,-0.09828,-0.0502,0.40546,0.38149
the-merchant-of-venice,The Merchant of Venice,main,3,2,3.2,14,53,199,2898,3,0.21946,0.0772,-0.03341,-0.02066,0.45798,0.42755
the-merchant-of-venice,The Merchant of Venice,main,3,3,3.3,15,12,38,349,3,-0.04215,0.0,-0.11356,-0.07678,0.36522,0.42564
the-merchant-of-venice,The Merchant of Venice,main,3,4,3.4,16,18,45,671,4,0.19707,0.0,0.07637,0.04332,0.37642,0.38718
the-merchant-of-venice,The Merchant of Venice,main,3,5,3.5,17,32,67,710,4,0.10021,0.0,-0.04579,0.00138,0.38059,0.38398
the-merchant-of-venice,The Merchant of Venice,main,4,1,4.1,18,144,338,4043,9,0.08504,0.0,0.00951,-0.01064,0.39529,0.38572
the-merchant-of-venice,The Merchant of Venice,main,4,2,4.2,19,11,21,202,4,0.12932,0.0,0.04633,0.02553,0.29575,0.34773
the-merchant-of-venice,The Merchant of Venice,main,5,1,5.1,20,103,226,2763,11,0.15876,0.0,0.00039,-0.0031,0.36434,0.3953
