play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
macbeth,Macbeth,main,1,1,1.1,1,10,12,100,0,0.07478,0.0,0.0668,-0.00534,0.1807,0.19128
macbeth,Macbeth,main,1,2,1.2,2,19,39,536,0,0.01397,0.0,0.05585,0.05062,0.48406,0.38354
macbeth,Macbeth,main,1,3,1.3,3,51,114,1470,0,0.09534,0.0,0.05477,-0.00798,0.40692,0.39009
macbeth,Macbeth,main,1,4,1.4,4,12,36,582,0,0.24011,0.2714,0.14374,0.21774,0.46017,0.49201
macbeth,Macbeth,main,1,5,1.5,5,14,42,679,0,0.04764,0.0,0.05504,0.01994,0.50236,0.46368
macbeth,Macbeth,main,1,6,1.6,6,7,21,322,0,0.49133,0.6124,0.17724,0.31793,0.35985,0.42774
macbeth,Macbeth,main,1,7,1.7,7,14,49,812,0,-0.00589,0.0,-0.15964,-0.16178,0.48634,0.37398
macbeth,Macbeth,main,2,1,2.1,8,19,52,618,0,0.12394,0.0,-0.07317,-0.00535,0.33808,0.3399
macbeth,Macbeth,main,2,2,2.2,9,33,84,800,0,-0.11908,0.0,-0.12436,-0.05592,0.31217,0.40096
macbeth,Macbeth,main,2,3,2.3,10,63,167,1513,0,-0.09472,0.0,-0.1286,-0.07344,0.37197,0.36399
macbeth,Macbeth,main,2,4,2.4,11,22,38,385,0,-0.0312,0.0,-0.04271,-0.05469,0.40145,0.38793
macbeth,Macbeth,main,3,1,3.1,12,38,98,1282,0,-0.00136,0.0,0.03002,0.00393,0.37166,0.40361
macbeth,Macbeth,main,3,2,3.2,13,15,42,491,0,0.0228,0.0,-0.03788,-0.02893,0.50029,0.43208
macbeth,Macbeth,main,3,3,3.3,14,20,35,225,0,-0.00805,0.0,-0.0055,0.01913,0.33046,0.33714
macbeth,Macbeth,main,3,4,3.4,15,55,157,1543,0,-0.01389,0.0,-0.05308,-0.02538,0.45377,0.38218
macbeth,Macbeth,main,3,5,3.5,16,4,22,254,0,-0.03781,0.0,-0.10061,-0.0038,0.43609,0.43852
macbeth,Macbeth,main,3,6,3.6,17,6,28,451,0,-0.15138,-0.07655,-0.14894,-0.11931,0.46704,0.38786
macbeth,Macbeth,main,4,1,4.1,18,55,144,1300,0,-0.01074,0.0,0.03419,0.00481,0.36109,0.34814
macbeth,Macbeth,main,4,2,4.2,19,42,81,774,0,-0.03953,0.0,-0.08301,-0.07218,0.44041,0.41767
macbeth,Macbeth,main,4,3,4.3,20,65,189,2206,0,0.02991,0.0,-0.10532,-0.0608,0.48627,0.42344
macbeth,Macbeth,main,5,1,5.1,21,33,81,656,0,-0.00488,0.0,-0.04566,-0.03244,0.31368,0.37812
macbeth,Macbeth,main,5,2,5.2,22,10,25,300,0,-0.10534,0.0,-0.06797,-0.01379,0.44762,0.31448
macbeth,Macbeth,main,5,3,5.3,23,22,56,573,0,-0.02314,0.0,0.02854,-0.01584,0.3951,0.3858
macbeth,Macbeth,main,5,4,5.4,24,10,16,204,0,0.02663,0.0,-0.1915,-0.27957,0.34896,0.29678
macbeth,Macbeth,main,5,5,5.5,25,14,35,497,0,-0.26617,-0.2732,-0.11788,-0.06734,0.39785,0.44992
macbeth,Macbeth,main,5,6,5.6,26,3,6,77,0,-0.04675,0.0,0.23888,0.28036,0.43209,0.23169
macbeth,Macbeth,main,5,7,5.7,27,12,28,264,0,-0.17877,0.0,-0.11894,-0.11882,0.41104,0.40973
macbeth,Macbeth,main,5,8,5.8,28,23,59,725,0,-0.10953,0.0,-0.01271,-0.13191,0.43912,0.4542
