play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1.1,1,148,250,2494,10,0.13022,0.0,0.04014,0.94886,0.04654,0.00735,0.36424,0.98535,0.36316
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,2,1.2,2,5,11,96,2,0.11864,0.0,0.27005,0.97907,0.0521,0.02506,0.17019,0.9926,0.23153
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,3,1.3,3,51,100,961,5,0.05282,0.0,0.03168,0.90351,0.05599,0.04825,0.39105,0.98394,0.35548
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,4,1.4,4,75,154,1469,9,0.07922,0.0,-0.06484,-0.89373,0.09974,0.02253,0.36709,0.97723,0.37559
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,2,1,2.1,5,90,198,2179,13,0.08782,0.0,-0.15248,-0.97439,-0.02684,-0.00432,0.36697,0.96945,0.36613
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,2,2,2.2,6,96,227,2795,11,0.14389,0.0,-0.06475,-0.93924,0.05393,0.01608,0.40759,0.97558,0.40145
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,2,3,2.3,7,51,88,779,5,0.10743,0.0,0.05607,0.96104,0.09284,0.08133,0.43609,0.98332,0.42242
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,3,1,3.1,8,56,102,1034,7,0.13204,0.0,0.00108,0.16753,0.14439,0.14427,0.4,0.97742,0.38416
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,3,2,3.2,9,40,83,781,8,0.14471,0.0,0.01807,0.21315,0.04888,0.02479,0.32012,0.97562,0.36252
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,3,3,3.3,10,112,217,2015,14,0.07502,0.0,-0.14294,-0.9773,-0.00019,0.00048,0.37195,0.97281,0.40078
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,3,4,3.4,11,55,103,1011,8,0.20646,0.0772,0.22199,0.97978,0.04976,0.03993,0.35528,0.96226,0.39624
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,3,5,3.5,12,54,120,1336,9,0.00164,0.0,-0.21436,-0.98255,-0.04395,-0.01086,0.34593,0.96069,0.3716
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,1,4.1,13,51,79,514,2,0.02709,0.0,-0.11094,-0.93412,0.02234,0.00101,0.30615,0.97527,0.32736
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,2,4.2,14,104,207,1902,13,1e-05,0.0,-0.41633,-0.98929,-0.01309,-0.00149,0.33703,0.89588,0.35927
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,3,4.3,15,6,14,117,2,0.01891,0.0,-0.28878,-0.98789,0.00579,0.05586,0.17878,0.97698,0.27394
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,4,4.4,16,31,61,851,4,0.04495,0.0,-0.18856,-0.97372,-0.06548,-0.00893,0.3355,0.96706,0.37156
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,5,4.5,17,57,113,1040,10,0.07101,0.0,-0.23309,-0.98235,0.01439,0.00664,0.34378,0.95624,0.33313
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,4,6,4.6,18,10,31,484,2,0.22973,0.2732,0.04035,0.97471,0.07015,0.04787,0.27242,0.99909,0.29451
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,5,1,5.1,19,10,28,313,4,0.02793,0.0,0.07465,0.97644,0.14083,0.08225,0.23687,1.00311,0.33086
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,5,2,5.2,20,6,14,153,2,0.03332,0.0,0.15305,0.97048,-0.01878,0.02174,0.36746,1.00222,0.24613
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,5,3,5.3,21,14,20,208,3,-0.00514,0.0,-0.00054,-0.0013,-0.02368,0.01872,0.41673,1.00797,0.28225
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,5,4,5.4,22,3,5,55,2,0.0211,0.0,0.20087,0.99528,0.11718,0.04722,0.38762,1.08824,0.251
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,5,5,5.5,23,86,203,2339,14,0.01124,0.0,-0.22587,-0.9782,-0.03761,-0.00953,0.40061,0.96015,0.38033
