play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
coriolanus,Coriolanus,main,1,1,1.1,1,92,179,2267,0,0.05068,0.0,-0.23547,-0.98205,-0.027,-0.02442,0.42488,0.95802,0.38241
coriolanus,Coriolanus,main,1,2,1.2,2,12,24,302,0,-0.01175,0.0,-0.33219,-0.97853,-0.03849,-0.00112,0.3563,0.90257,0.33699
coriolanus,Coriolanus,main,1,3,1.3,3,41,84,1103,0,0.109,0.0,-0.08558,-0.95579,-0.00032,-0.04531,0.44573,0.98677,0.42031
coriolanus,Coriolanus,main,1,4,1.4,4,31,59,644,0,-0.08024,0.0,-0.238,-0.96819,0.07463,0.03402,0.4305,0.95106,0.42679
coriolanus,Coriolanus,main,1,5,1.5,5,10,24,230,0,-0.05853,0.0,0.00306,0.02447,0.11218,0.34941,0.4918,1.01333,0.53957
coriolanus,Coriolanus,main,1,6,1.6,6,27,68,941,0,0.13324,0.0,-0.02535,-0.88857,-0.0137,-0.01057,0.43294,0.99517,0.36317
coriolanus,Coriolanus,main,1,7,1.7,7,3,8,71,0,0.00779,0.0,-0.4907,-0.97831,-0.19973,-0.15705,0.32534,0.90765,0.26504
coriolanus,Coriolanus,main,1,8,1.8,8,7,10,142,0,-0.47792,-0.47475,-0.59539,-0.99419,-0.04842,-0.25958,0.37635,0.83623,0.52991
coriolanus,Coriolanus,main,1,9,1.9,9,20,55,817,0,0.03992,0.0,-0.07295,-0.92674,-0.00782,-0.00526,0.44975,0.97728,0.41607
coriolanus,Coriolanus,main,1,10,1.10,10,8,20,331,0,-0.16776,0.0,-0.39333,-0.9824,0.05772,0.0373,0.44677,0.929,0.33208
coriolanus,Coriolanus,main,2,1,2.1,11,95,163,2118,0,0.10671,0.0,0.00607,0.54687,-0.00676,-0.01943,0.40533,0.98491,0.41794
coriolanus,Coriolanus,main,2,2,2.2,12,43,89,1548,0,0.1785,0.0,0.34565,0.98532,-0.02226,-0.00454,0.43891,0.9238,0.39829
coriolanus,Coriolanus,main,2,3,2.3,13,91,159,2191,0,0.11748,0.0,-0.06778,-0.95805,-0.04509,-0.0344,0.40075,0.9846,0.37081
coriolanus,Coriolanus,main,3,1,3.1,14,159,265,2829,0,-0.01848,0.0,-0.34477,-0.98911,-0.04561,-0.05162,0.37303,0.92401,0.39843
coriolanus,Coriolanus,main,3,2,3.2,15,43,85,1202,0,0.12693,0.0,0.01274,0.94018,-0.01854,-0.03194,0.4101,0.99255,0.3732
coriolanus,Coriolanus,main,3,3,3.3,16,62,101,1121,0,0.01311,0.0,-0.0164,-0.13731,-0.00251,0.00041,0.39982,0.97839,0.40039
coriolanus,Coriolanus,main,4,1,4.1,17,11,34,504,0,0.15573,0.2023,-0.16154,-0.96759,0.11416,0.22184,0.39297,0.98041,0.4775
coriolanus,Coriolanus,main,4,2,4.2,18,33,55,504,0,0.05762,0.0,-0.06278,-0.9825,0.14163,0.15351,0.44828,0.99125,0.37343
coriolanus,Coriolanus,main,4,3,4.3,19,19,34,402,0,0.21005,0.2732,0.29121,0.97848,0.05747,0.05364,0.34615,0.95147,0.40611
coriolanus,Coriolanus,main,4,4,4.4,20,9,16,228,0,0.0392,0.0,0.37737,0.96151,0.10387,0.01801,0.43393,0.91379,0.3872
coriolanus,Coriolanus,main,4,5,4.5,21,82,154,1821,0,0.04529,0.0,-0.19998,-0.97236,0.01353,-0.01775,0.4036,0.95265,0.40588
coriolanus,Coriolanus,main,4,6,4.6,22,75,125,1344,0,0.01169,0.0,-0.18826,-0.97763,-0.08562,-0.08692,0.42084,0.96675,0.43183
coriolanus,Coriolanus,main,4,7,4.7,23,7,21,511,0,0.09944,0.0,-0.04959,-0.97039,-0.22335,-0.28441,0.55219,1.00911,0.33992
coriolanus,Coriolanus,main,5,1,5.1,24,22,49,659,0,0.17762,0.0,-0.2218,-0.97976,-0.27562,-0.3405,0.42572,0.97518,0.37764
coriolanus,Coriolanus,main,5,2,5.2,25,35,76,893,0,0.00726,0.0,-0.29931,-0.98835,-0.01529,-0.0096,0.42007,0.94151,0.39231
coriolanus,Coriolanus,main,5,3,5.3,26,30,111,1823,0,0.04314,0.0,-0.16414,-0.97775,-0.04753,-0.09927,0.4664,0.97261,0.45518
coriolanus,Coriolanus,main,5,4,5.4,27,22,51,546,0,0.13675,0.0,0.33173,0.98603,-0.02739,-0.01525,0.47789,0.92886,0.38632
coriolanus,Coriolanus,main,5,5,5.5,28,2,5,50,0,0.33288,0.4926,0.97229,0.99641,0.3895,0.55306,0.37645,0.05238,0.43061
coriolanus,Coriolanus,main,5,6,5.6,29,50,115,1400,0,-0.02894,0.0,-0.16357,-0.97457,0.04075,0.05729,0.45858,0.97287,0.4279
